Year,Round,Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,college_id,branch_id
2024,5,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3122,3236,67d46f0d7ee10606e96d055e,67d46d4ae89b5e36d438abd4
2024,5,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3078,3885,67d46f0d7ee10606e96d055e,67d46d4ae89b5e36d438abd4
2024,5,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),7053,7801,67d46f0d7ee10606e96d055e,67d46d4ae89b5e36d438abd4
2024,5,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1907,2293,67d46f0d7ee10606e96d055e,67d46d4ae89b5e36d438abd4
2024,5,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2465,3941,67d46f0d7ee10606e96d055e,67d46d4ae89b5e36d438abd4
2024,5,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,918,1041,67d46f0d7ee10606e96d055e,67d46d4ae89b5e36d438abd4
2024,5,Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1735,1735,67d46f0d7ee10606e96d055e,67d46d4ae89b5e36d438abd4
2024,5,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,11823,14898,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac17
2024,5,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),20901,21693,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac17
2024,5,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2301,2373,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac17
2024,5,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),4185,4185,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac17
2024,5,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4730,5608,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac17
2024,5,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),9228,9228,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac17
2024,5,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2332,2774,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac17
2024,5,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4396,4396,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac17
2024,5,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1102,1223,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac17
2024,5,Indian Institute of Technology Bhubaneswar,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),330P,602P,67d46f0d7ee10606e96d055e,67d46d4de89b5e36d438ac17
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,817,2394,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
2024,5,Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2494,6360,67d46f0d7ee10606e96d055f,67d46d4be89b5e36d438abea
